experiment,ramp_spread,label,fe_yield_lo,fe_yield_hi,be_yield_lo,be_yield_hi,fe_spread,be_spread,fe_mean,be_mean,rp_obj,eev_obj,vss,pct_vss,rp_xf_fe1,rp_xf_fe2,ev_xf_fe1,ev_xf_fe2,rp_total_starts,ev_total_starts,rp_outsource_fe,rp_outsource_be,ev_outsource_fe,ev_outsource_be,rp_exp_unmet,eev_exp_unmet,rp_exp_inv,eev_exp_inv,status_rp,status_eev
B_BE_only,0.0400,B_BEsp0.04,0.8000,0.9500,0.7800,0.8200,0.1500,0.0400,0.8750,0.8000,6565.1718,6445.6807,119.4911,1.8201,10.0000,3.1250,10.0000,0.2857,13.1250,10.2857,Yes,Yes,Yes,Yes,15.0000,15.0000,0.0000,0.0000,Optimal,Optimal
B_BE_only,0.0600,B_BEsp0.06,0.8000,0.9500,0.7700,0.8300,0.1500,0.0600,0.8750,0.8000,6564.9956,6445.5046,119.4911,1.8201,10.0000,3.1250,10.0000,0.2857,13.1250,10.2857,Yes,Yes,Yes,Yes,15.0000,15.0000,0.0000,0.0000,Optimal,Optimal
B_BE_only,0.0800,B_BEsp0.08,0.8000,0.9500,0.7600,0.8400,0.1500,0.0800,0.8750,0.8000,6546.6772,6430.1325,116.5446,1.7802,10.0000,3.1250,10.0000,0.2857,13.1250,10.2857,Yes,Yes,Yes,Yes,16.5000,16.5000,0.0000,0.0000,Optimal,Optimal
B_BE_only,0.1000,B_BEsp0.10,0.8000,0.9500,0.7500,0.8500,0.1500,0.1000,0.8750,0.8000,6519.2096,6406.9979,112.2117,1.7212,10.0000,3.1250,10.0000,0.2857,13.1250,10.2857,Yes,Yes,Yes,Yes,18.7500,18.7500,0.0000,0.0000,Optimal,Optimal
B_BE_only,0.1200,B_BEsp0.12,0.8000,0.9500,0.7400,0.8600,0.1500,0.1200,0.8750,0.8000,6491.6211,6383.6417,107.9794,1.6634,10.0000,3.1250,10.0000,0.2857,13.1250,10.2857,Yes,Yes,Yes,Yes,21.0000,21.0000,0.0000,0.0000,Optimal,Optimal
B_BE_only,0.1500,B_BEsp0.15,0.8000,0.9500,0.7250,0.8750,0.1500,0.1500,0.8750,0.8000,6450.0139,6348.2014,101.8125,1.5785,10.0000,3.1250,10.0000,0.2857,13.1250,10.2857,Yes,Yes,Yes,Yes,24.3750,24.3750,0.0000,0.0000,Optimal,Optimal
B_BE_only,0.1800,B_BEsp0.18,0.8000,0.9500,0.7100,0.8900,0.1500,0.1800,0.8750,0.8000,6408.1955,6312.3277,95.8678,1.4960,10.0000,3.1250,10.0000,0.2857,13.1250,10.2857,Yes,Yes,Yes,Yes,27.7500,27.7500,0.0000,0.0000,Optimal,Optimal
B_BE_only,0.2000,B_BEsp0.20,0.8000,0.9500,0.7000,0.9000,0.1500,0.2000,0.8750,0.8000,6380.6577,6288.5000,92.1577,1.4443,10.0000,3.1250,10.0000,0.2857,13.1250,10.2857,Yes,Yes,Yes,Yes,30.0000,30.0000,0.0000,0.0000,Optimal,Optimal
B_BE_only,0.2500,B_BEsp0.25,0.8000,0.9500,0.6750,0.9250,0.1500,0.2500,0.8750,0.8000,6311.4369,6225.0056,86.4313,1.3694,10.0000,3.1250,10.0000,0.2857,13.1250,10.2857,Yes,Yes,Yes,Yes,35.6250,35.6250,0.0000,0.0000,Optimal,Optimal
B_BE_only,0.3000,B_BEsp0.30,0.8000,0.9500,0.6500,0.9500,0.1500,0.3000,0.8750,0.8000,6241.6602,6155.2204,86.4398,1.3849,10.0000,3.1250,10.0000,0.2857,13.1250,10.2857,Yes,Yes,Yes,Yes,41.2500,41.2500,0.0000,0.0000,Optimal,Optimal
