label,fe_yield_lo,fe_yield_hi,be_yield_lo,be_yield_hi,fe_spread,be_spread,fe_mean,be_mean,rp_obj,eev_obj,vss,pct_vss,rp_xf_fe1,rp_xf_fe2,ev_xf_fe1,ev_xf_fe2,rp_total_starts,ev_total_starts,rp_outsource_fe,rp_outsource_be,ev_outsource_fe,ev_outsource_be,rp_exp_unmet,eev_exp_unmet,rp_exp_inv,eev_exp_inv,status_rp,status_eev
FEsp0.10_BEsp0.30,0.8250,0.9250,0.6500,0.9500,0.1000,0.3000,0.8750,0.8000,6242.2568,6164.5356,77.7211,1.2451,10.0000,2.7273,10.0000,0.2857,12.7273,10.2857,Yes,Yes,Yes,Yes,41.2500,41.2500,0.0000,0.0000,Optimal,Optimal
FEsp0.10_BEsp0.40,0.8250,0.9250,0.6000,1.0000,0.1000,0.4000,0.8750,0.8000,6100.9091,6021.4821,79.4269,1.3019,10.0000,2.7273,10.0000,0.2857,12.7273,10.2857,Yes,Yes,Yes,Yes,52.5000,52.5000,0.0000,0.0000,Optimal,Optimal
FEsp0.15_BEsp0.04,0.8000,0.9500,0.7800,0.8200,0.1500,0.0400,0.8750,0.8000,6565.1718,6445.6807,119.4911,1.8201,10.0000,3.1250,10.0000,0.2857,13.1250,10.2857,Yes,Yes,Yes,Yes,15.0000,15.0000,0.0000,0.0000,Optimal,Optimal
FEsp0.15_BEsp0.08,0.8000,0.9500,0.7600,0.8400,0.1500,0.0800,0.8750,0.8000,6546.6772,6430.1325,116.5446,1.7802,10.0000,3.1250,10.0000,0.2857,13.1250,10.2857,Yes,Yes,Yes,Yes,16.5000,16.5000,0.0000,0.0000,Optimal,Optimal
FEsp0.15_BEsp0.15,0.8000,0.9500,0.7250,0.8750,0.1500,0.1500,0.8750,0.8000,6450.0139,6348.2014,101.8125,1.5785,10.0000,3.1250,10.0000,0.2857,13.1250,10.2857,Yes,Yes,Yes,Yes,24.3750,24.3750,0.0000,0.0000,Optimal,Optimal
FEsp0.15_BEsp0.20,0.8000,0.9500,0.7000,0.9000,0.1500,0.2000,0.8750,0.8000,6380.6577,6288.5000,92.1577,1.4443,10.0000,3.1250,10.0000,0.2857,13.1250,10.2857,Yes,Yes,Yes,Yes,30.0000,30.0000,0.0000,0.0000,Optimal,Optimal
FEsp0.15_BEsp0.25,0.8000,0.9500,0.6750,0.9250,0.1500,0.2500,0.8750,0.8000,6311.4369,6225.0056,86.4313,1.3694,10.0000,3.1250,10.0000,0.2857,13.1250,10.2857,Yes,Yes,Yes,Yes,35.6250,35.6250,0.0000,0.0000,Optimal,Optimal
FEsp0.15_BEsp0.30,0.8000,0.9500,0.6500,0.9500,0.1500,0.3000,0.8750,0.8000,6241.6602,6155.2204,86.4398,1.3849,10.0000,3.1250,10.0000,0.2857,13.1250,10.2857,Yes,Yes,Yes,Yes,41.2500,41.2500,0.0000,0.0000,Optimal,Optimal
FEsp0.15_BEsp0.40,0.8000,0.9500,0.6000,1.0000,0.1500,0.4000,0.8750,0.8000,6100.3125,6010.8750,89.4375,1.4661,10.0000,3.1250,10.0000,0.2857,13.1250,10.2857,Yes,Yes,Yes,Yes,52.5000,52.5000,0.0000,0.0000,Optimal,Optimal
FEsp0.20_BEsp0.04,0.7750,0.9750,0.7800,0.8200,0.2000,0.0400,0.8750,0.8000,6564.5367,6445.6807,118.8560,1.8106,10.0000,3.5484,10.0000,0.2857,13.5484,10.2857,Yes,Yes,Yes,Yes,15.0000,15.0000,0.0000,0.0000,Optimal,Optimal
FEsp0.20_BEsp0.08,0.7750,0.9750,0.7600,0.8400,0.2000,0.0800,0.8750,0.8000,6546.0421,6430.1325,115.9096,1.7707,10.0000,3.5484,10.0000,0.2857,13.5484,10.2857,Yes,Yes,Yes,Yes,16.5000,16.5000,0.0000,0.0000,Optimal,Optimal
FEsp0.20_BEsp0.15,0.7750,0.9750,0.7250,0.8750,0.2000,0.1500,0.8750,0.8000,6449.3788,6348.2014,101.1774,1.5688,10.0000,3.5484,10.0000,0.2857,13.5484,10.2857,Yes,Yes,Yes,Yes,24.3750,24.3750,0.0000,0.0000,Optimal,Optimal
FEsp0.20_BEsp0.20,0.7750,0.9750,0.7000,0.9000,0.2000,0.2000,0.8750,0.8000,6380.0227,6284.5565,95.4661,1.4963,10.0000,3.5484,10.0000,0.2857,13.5484,10.2857,Yes,Yes,Yes,Yes,30.0000,30.0000,0.0000,0.0000,Optimal,Optimal
FEsp0.20_BEsp0.25,0.7750,0.9750,0.6750,0.9250,0.2000,0.2500,0.8750,0.8000,6310.8019,6215.6752,95.1266,1.5074,10.0000,3.5484,10.0000,0.2857,13.5484,10.2857,Yes,Yes,Yes,Yes,35.6250,35.6250,0.0000,0.0000,Optimal,Optimal
